"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr17",46651721,46651952,6.712e-08,7,9.222e-13,1.424e-09
"chr11",31837103,31837250,3.379e-09,5,2.153e-16,5.387e-13
"chr6",32063834,32063901,9.869e-05,5,2.193e-06,0.0116
"chr19",52956621,52956832,5.634e-09,8,1.005e-11,1.699e-08
"chr6",32163729,32164160,4.569e-15,13,1.585e-23,1.312e-20
"chr17",42081855,42081955,5.102e-09,5,7.778e-11,2.774e-07
"chr10",72201416,72201668,7.372e-05,6,4.799e-10,6.791e-07
"chr10",124638975,124639257,6.32e-09,10,2.943e-12,3.721e-09
"chr6",32063393,32063553,0.0001002,5,3.412e-07,0.0007602
"chr4",1166754,1166933,1.118e-05,6,9.397e-08,0.0001872
"chr17",11501502,11501663,9.697e-09,7,2.344e-12,5.192e-09
"chr11",123986025,123986166,8.519e-16,8,1.004e-17,2.538e-14
"chr7",127670992,127671195,6.055e-10,6,8.579e-13,1.507e-09
"chr6",31590512,31590674,3.168e-09,9,5.326e-11,1.172e-07
"chr12",76742179,76742363,3.341e-18,7,1.265e-22,2.452e-19
"chr1",113249941,113250088,1.049e-10,5,1.61e-16,2.693e-13
"chr15",93616893,93617065,3.495e-13,7,1.071e-17,2.221e-14
"chr6",31938860,31939322,6.055e-10,11,8.143e-15,6.256e-12
"chr6",31549009,31549276,5.641e-13,9,1.087e-15,1.483e-12
"chr20",55841868,55841906,2.209e-09,6,1.972e-12,1.85e-08
"chr3",47324471,47324572,8.173e-15,5,1.14e-17,4.024e-14
"chr5",50678772,50678928,2.209e-09,5,2.732e-14,6.243e-11
"chr3",192445499,192445594,8.718e-10,6,1.262e-09,4.738e-06
"chr11",14993817,14994230,1.014e-06,13,7.52e-13,6.493e-10
"chr6",31778621,31778842,1.97e-11,8,5.781e-14,9.333e-11
"chr20",42142416,42142784,2.543e-07,12,3.942e-13,3.82e-10
"chr13",48877590,48877719,1.019e-16,6,7.775e-21,2.149e-17
"chr7",94285269,94286669,3.672e-11,52,4.152e-25,1.058e-22
